RAILLINK_I,출발역,종착역,LENGTH,호선,,,,,,,
1101002,시청,서울역,1.1,서울1호선,,,1101002,시청,서울역,1.1,서울1호선
1101003,시청,종각,1,서울1호선,,,1101003,시청,종각,1,서울1호선
1101004,종각,종로3가,0.8,서울1호선,,,1101004,종각,종로3가,0.8,서울1호선
1101005,종로5가,종로3가,0.9,서울1호선,,,1101005,종로5가,종로3가,0.9,서울1호선
1101006,종로5가,동대문,0.8,서울1호선,,,1101006,종로5가,동대문,0.8,서울1호선
1101007,동대문,동묘앞,0.6,서울1호선,,,1101007,동대문,동묘앞,0.6,서울1호선
1101008,동묘앞,신설동,0.7,서울1호선,,,1101008,동묘앞,신설동,0.7,서울1호선
1101009,제기동,신설동,0.9,서울1호선,,,1101009,제기동,신설동,0.9,서울1호선
1101010,제기동,청량리(서울시립대입구),1,서울1호선,,,1101010,제기동,청량리(서울시립대입구),1,서울1호선
1101011,회기,청량리(서울시립대입구),1.4,서울1호선,,,1101011,회기,청량리(서울시립대입구),1.4,서울1호선
1101013,대방,노량진,1.5,서울1호선,,,1101013,대방,노량진,1.5,서울1호선
1102001,충정로(경기대입구),시청,1.1,서울2호선,,,,,,,
1102002,시청,을지로입구,0.7,서울2호선,,,2010001,서울역,남영,1.7,서울1호선
1102003,을지로3가,을지로입구,0.8,서울2호선,,,2010002,용산,노량진,1.5,서울1호선
1102004,을지로4가,을지로3가,0.6,서울2호선,,,2010003,남영,용산,0.8,서울1호선
1102005,을지로4가,동대문역사문화공원,1,서울2호선,,,2010005,대방,신길,0.8,서울1호선
1102006,신당,동대문역사문화공원,0.9,서울2호선,,,2010006,신길,영등포,1,서울1호선
1102007,상왕십리,신당,0.9,서울2호선,,,2010007,영등포,신도림,1.5,서울1호선
1102008,왕십리(성동구청),상왕십리,0.8,서울2호선,,,2010008,구로,신도림,1.1,서울1호선
1102009,왕십리(성동구청),한양대,1,서울2호선,,,2010009,가산디지털단지,구로,1.1,서울1호선
