OID_,Shape_Length,노선명,버스정류장 수,평균구간길이(Km)
1,0.098072299679082,0017,40,0.24518074919770502
2,1.201724600450786,01A,78,1.5406725646804948
3,0.635477099446366,01B,60,1.0591284990772767
4,0.130836051965386,03,30,0.4361201732179533
5,0.116187337677984,04,25,0.464749350711936
6,0.384559150893604,0411,95,0.4047991062037936
7,0.086502774144365,05,19,0.45527775865455256
8,0.499921114238092,100,122,0.40977140511319016
9,0.362122334514818,101,82,0.44161260306685124
10,0.107015892095498,1014,37,0.28923214079864323
11,0.197668006303785,1017,70,0.2823828661482643
12,0.287361359978894,102,67,0.4288975522073045
13,0.216027950528994,1020,54,0.4000517602388778
14,0.283503704194829,103,70,0.4050052917068986
15,0.273481265351059,104,65,0.4207404082323984
16,0.381131263122722,105,86,0.4431758873520023
17,0.414404762539347,106,90,0.46044973615483
18,0.566843304218238,107,122,0.4646256591952771
19,0.258759127098855,109,64,0.40431113609196095
20,0.357104278035097,110A고려대,88,0.4058003159489738
21,0.3592330971984,110B국민대,91,0.3947616452729671
22,0.522918091458295,111,116,0.4507914581537026
23,0.248221315923298,1111,77,0.3223653453549325
24,0.208023454744972,1112,62,0.3355217012015677
25,0.103704794891798,1113,34,0.3050141026229353
26,0.070720222248271,1114,25,0.282880888993084
27,0.085196790897912,1115,30,0.28398930299304004
28,0.101076999285231,1116,30,0.33692333095077004
29,0.186129247013287,1119,65,0.28635268771274924
30,0.283248870382344,1120,85,0.33323396515569875
31,0.164295623923266,1122,63,0.2607867046401047
32,0.091727408440349,1124,37,0.24791191470364596
33,0.142348259780624,1125A,48,0.29655887454296664
34,0.144102894199463,1125B,46,0.31326716130318044
35,0.170458394598559,1126,66,0.25827029484630154
36,0.173307986726701,1127,60,0.28884664454450165
37,0.26132578634711,1128,81,0.3226244275890247
38,0.075421073867668,1129,22,0.34282306303485455
39,0.065354592602438,1130,27,0.2420540466756963
40,0.138472582326358,1131,57,0.2429343549585228
41,0.179072599815916,1132,65,0.2754963074091015
42,0.110997815046799,1133,48,0.23124544801416458
43,0.155555626725632,1135,59,0.26365360461971526
44,0.088828395474973,1136,39,0.22776511660249485
45,0.223645565201139,1137,78,0.28672508359120386
46,0.165316459708283,1138,51,0.3241499209966333
47,0.215124244749288,1139,72,0.2987836732629
48,0.140852402517268,1140,49,0.287453882688302
49,0.140059627219815,1141,54,0.2593696800366944
50,0.090955088855897,1142,30,0.30318362951965666
51,0.207034859520262,1143,70,0.2957640850289457
52,0.191224740510242,1144,61,0.31348318116433116
53,0.251473260948069,1152,50,0.502946521896138
54,0.236382698598112,1154,57,0.41470648876861754
55,0.305051877651256,1155,76,0.40138404954112633
56,0.159913588514882,1157,66,0.24229331593163939
57,0.24185439647467,1161,81,0.29858567466008645
58,0.075780722939971,1162,38,0.19942295510518684
59,0.076411277680228,1164,29,0.2634871644145793
60,0.188200599626527,1165,66,0.2851524236765561
61,0.151033299433126,1166,48,0.31465270715234583
62,0.175981820609107,1167,51,0.34506239335119016
63,0.304644044577883,120,89,0.34229667930099217
64,0.291251280286152,121,86,0.3386642794025023
65,0.269036732413441,1213,68,0.395642253549178
66,0.301154068750042,1218,88,0.3422205326705023
67,0.140468889824169,1221,45,0.3121530884981533
68,0.170321129552155,1222,56,0.3041448742002768
69,0.287584659525437,1224,88,0.32680074946072385
70,0.069527494181243,1226,23,0.3022934529619261
71,0.239435556839473,1227,67,0.3573665027454821
72,0.009858763525942,12345,3,0.3286254508647333
73,0.0446606852635,1234테스트,8,0.55825856579375
74,0.477179089797621,130,87,0.5484817124110587
75,0.531653754523591,140,87,0.611096269567346
76,0.497055683898634,141,105,0.4733863656177467
77,0.543981860480113,142,106,0.513190434415201
78,0.544699155164101,143,113,0.48203465058769995
79,0.437742608018768,144,99,0.44216425052400804
80,0.423170612099942,145,101,0.4189808040593485
81,0.531212336938774,146,135,0.3934906199546474
82,0.489990824861467,147,114,0.4298165130363745
83,0.412991192002903,148,84,0.4916561809558369
84,0.677681010537182,150,123,0.5509601711684406
85,0.42253584038255,151,95,0.44477456882373684
86,0.587419226586175,152,131,0.44841162334822515
87,0.691953589524457,160,119,0.5814736046424008
88,0.348030015819056,162,77,0.45198703353124153
89,10.862049923048051,163,255,4.259627420803158
90,0.414115422020776,171,84,0.4929945500247333
91,0.272320306781917,1711,64,0.4255004793467453
92,0.461332374391722,172,104,0.44358882153050194
93,0.407402130144918,173,112,0.36375190191510537
94,0.003752394350009,1991,5,0.07504788700018
95,0.49310545874123,201,116,0.4250909127079569
96,0.354342743271801,2012,113,0.3135776489130982
97,0.20837363943972,2013,62,0.3360865152253549
98,0.201825562215773,2014,67,0.3012321824116015
99,0.27886202837662,2015,82,0.3400756443617317
100,0.492506543369329,2016,137,0.35949382727688245
101,0.511470498040044,202,131,0.39043549468705646
102,0.360573302181085,2112,110,0.32779391107371364
103,0.164877245407917,2113,67,0.2460854409073388
104,0.207050444261967,2114,79,0.26208916995185694
105,0.328962571022279,2115,108,0.3045949731687769
106,0.156643591991002,2211,51,0.30714429802157256
107,0.310221250908176,2212,88,0.3525241487592909
108,0.23285927598808,2221,57,0.4085250455931228
109,0.210766219720624,2222,62,0.33994551567842585
110,0.171387294290168,2224,55,0.31161326234576
111,0.358352733260064,2227,108,0.3318080863519111
112,0.265969685100004,2230,92,0.2890974838043522
113,0.392736956166918,2233,120,0.327280796805765
114,0.111439724297753,2234,40,0.2785993107443825
115,0.151166343224538,2235,49,0.3085027412745674
116,0.246315795017356,2236,86,0.28641371513646047
117,0.424354147626479,2311,117,0.3626958526722043
118,0.440787136889425,2312,105,0.41979727322802385
119,0.411961878184457,2312A,85,0.48466103315818476
120,0.377162166236052,240,120,0.31430180519670997
121,0.490038986217337,241,124,0.395192730820433
122,0.319603220578664,2412,76,0.42053055339297896
123,0.234117305994021,2413,69,0.33930044346959565
124,0.242046333567866,2415,52,0.46547371839974233
125,0.318654286877765,2416,88,0.36210714417927836
126,0.397289605277672,242,108,0.36786074562747406
127,0.495440620917757,260,97,0.5107635267193371
128,0.488484087045049,261,119,0.41049082944962095
129,0.529333870782061,262,136,0.3892160814573978
130,0.520038552275615,270,98,0.5306515839547092
131,0.535258120502408,271,123,0.4351692036604943
132,0.435915106752277,271B,90,0.4843501186136411
133,0.450400080565191,272,94,0.4791490218778628
134,0.431598671232923,273,112,0.385355956457967
135,0.444125462202798,301,100,0.44412546220279797
136,0.383056350670477,3011,88,0.4352913075800875
137,0.550148588560912,302,126,0.4366258639372318
138,0.522226691957569,303,106,0.4926666905260084
139,0.356589614385321,320,88,0.4052154708924102
140,0.243666905612583,3212,67,0.363681948675497
141,0.24408408476157,3214,56,0.43586443707423217
142,0.357037785378607,3216,91,0.3923492147017659
143,0.38399622060833,3217,83,0.4626460489256988
144,0.356802610656898,3220,91,0.3920907809416461
145,0.175381493434189,3313,42,0.4175749843671166
146,0.265653766357292,3314,69,0.38500545848882894
147,0.254828386622682,3315,74,0.34436268462524594
148,0.153095556530958,3316,41,0.3734037964169707
149,0.164380932143148,3317,39,0.4214895695978154
150,0.412434564431728,3318,112,0.36824514681404286
151,0.212262733781564,3319,56,0.3790405960385071
152,0.218025059685706,3321,74,0.29462845903473783
153,0.225804433642859,3322,61,0.37017120269321147
154,0.16061878926139,3323,46,0.34917128100302175
155,0.442328258398379,333,103,0.42944491106638744
156,0.40834529476556,340,106,0.38523141015618867
157,0.455102188086112,341,93,0.48935719149044304
158,0.332049007593504,3411,84,0.3952964376113142
159,0.469309027638801,3412,116,0.4045767479644836
160,0.410268512818654,3413,101,0.406206448335301
161,0.341976172727387,3414,88,0.3886092871902125
162,0.206266681116115,3416,64,0.3222916892439297
163,0.225896132328705,3417,60,0.376493553881175
164,0.450003770608284,342,110,0.4090943369166218
165,0.443813180072739,3420,89,0.49866649446375166
166,0.334483111476248,3422,89,0.3758237207598292
167,0.322265714428278,3426,87,0.3704203614118138
168,0.361613562267966,343,69,0.524077626475313
169,0.450433231599624,345,86,0.5237595716274698
170,0.472575854460587,350,97,0.4871916025366876
171,0.423030905858158,351,103,0.4107096173380175
172,0.483777407692655,352,82,0.5899724484056768
173,0.537924428974064,360,91,0.5911257461253451
174,0.519230411472024,361,95,0.5465583278652885
175,0.521627592101434,370,94,0.5549229703206744
176,0.448105480998701,400,104,0.4308706548064433
177,0.510528085484575,401,99,0.515684934832904
178,0.490157336105434,402,110,0.44559757827766727
179,0.380957320652947,405,84,0.4535206198249369
180,0.387509744000542,406,68,0.5698672705890324
181,0.469368610245318,407,87,0.539504149707262
182,0.421306937305769,420,86,0.48989178756484764
183,0.542793868477812,421,113,0.48034855617505484
184,0.297011019751336,4211,74,0.4013662429072108
185,0.34483487213524,4212,72,0.47893732241005554
186,0.539562197506359,422,116,0.4651398254365164
187,0.386230590522928,4312,85,0.4543889300269741
188,0.478313846440361,4318,107,0.4470222863928608
189,0.47598398572572,4318B,107,0.44484484647263556
190,0.334395293265416,4319,76,0.43999380692817897
191,0.466325108151783,440,95,0.49086853489661364
192,0.561060723989267,441,125,0.44884857919141363
193,0.436160264981753,4425,109,0.40014703209335134
194,0.229745568697232,4432,56,0.4102599441022
195,0.097612140861884,4433,34,0.28709453194671763
196,0.234757557424226,4435,46,0.5103425161396218
197,0.653706186757273,452,125,0.5229649494058184
198,0.607650610104544,461,139,0.4371587123054274
199,0.764315223060398,462,141,0.5420675340853887
200,0.466860180945405,463,95,0.4914317694162158
201,0.549113126456152,470,88,0.6239921891547181
202,0.622084055021083,471,94,0.6617915478947691
203,0.368077137667128,472,71,0.5184185037565183
204,0.401676736289213,500,84,0.47818659082049175
205,0.273025579728056,501,58,0.4707337581518207
206,0.445268368297418,5012,102,0.4365376159778608
207,0.633127721738161,502,133,0.4760358810061361
208,0.400759580000948,503,89,0.45029166292241357
