RAILLINK_I,출발역,종착역,LENGTH,호선
1101002,시청역(1호선),서울역(1호선),1.1,서울1호선
1101003,시청역(1호선),종각,1,서울1호선
1101004,종각,종로3가역(1호선),0.8,서울1호선
1101005,종로5가,종로3가역(1호선),0.9,서울1호선
1101006,동대문(1호선),종로5가,0.8,서울1호선
1101007,동묘앞역(1호선),동대문(1호선),0.6,서울1호선
1101008,동묘앞역(1호선),신설동역(1호선),0.7,서울1호선
1101009,신설동역(1호선),제기동,0.9,서울1호선
1101010,청량리역(1호선),제기동,1,서울1호선
1101011,청량리역(1호선),회기역(1호선),1.4,서울1호선
1101013,대방,노량진역(1호선),1.5,서울1호선
1102001,시청역(2호선),충정로역(2호선),1.1,서울2호선
1102002,시청역(2호선),을지로입구,0.7,서울2호선
1102003,을지로입구,을지로3가역(2호선),0.8,서울2호선
1102004,을지로4가역(2호선),을지로3가역(2호선),0.6,서울2호선
1102005,을지로4가역(2호선),동대문역사문화공원(2호선),1,서울2호선
1102006,신당역(2호선),동대문역사문화공원(2호선),0.9,서울2호선
1102007,신당역(2호선),상왕십리,0.9,서울2호선
1102008,상왕십리,왕십리역(2호선),0.8,서울2호선
1102009,한양대,왕십리역(2호선),1,서울2호선
1102010,뚝섬,한양대,1.1,서울2호선
1102011,뚝섬,성수역(2호선),0.8,서울2호선
1102012,성수역(2호선),건대입구역(2호선),1.2,서울2호선
1102013,구의,건대입구역(2호선),1.6,서울2호선
1102014,강변,구의,0.9,서울2호선
1102015,잠실나루역,강변,1.8,서울2호선
1102016,잠실역(2호선),잠실나루역,1,서울2호선
1102017,잠실역(2호선),잠실새내,1.2,서울2호선
1102018,종합운동장역(2호선),잠실새내,1.2,서울2호선
1102019,종합운동장역(2호선),삼성(2호선),1,서울2호선
1102020,선릉역(2호선),삼성(2호선),1.3,서울2호선
1102021,역삼,선릉역(2호선),1.2,서울2호선
1102022,강남역(2호선),역삼,0.8,서울2호선
1102023,강남역(2호선),교대역(2호선),1.2,서울2호선
1102024,교대역(2호선),서초,0.7,서울2호선
1102025,서초,방배,1.7,서울2호선
1102026,방배,사당역(2호선),1.6,서울2호선
1102027,낙성대,사당역(2호선),1.7,서울2호선
1102028,서울대입구,낙성대,1,서울2호선
1102029,봉천(2호선),서울대입구,1,서울2호선
1102030,봉천(2호선),신림(2호선),1.1,서울2호선
1102031,신대방,신림(2호선),1.8,서울2호선
1102032,구로디지털단지,신대방,1.1,서울2호선
1102033,구로디지털단지,대림역(2호선),1.1,서울2호선
1102034,대림역(2호선),신도림역(2호선),1.8,서울2호선
1102035,신도림역(2호선),문래,1.2,서울2호선
1102036,문래,영등포구청역(2호선),0.9,서울2호선
1102037,영등포구청역(2호선),당산역(2호선),1.1,서울2호선
1102038,당산역(2호선),합정역(2호선),2,서울2호선
1102039,합정역(2호선),홍대입구역(2호선),1.1,서울2호선
1102040,신촌(2호선),홍대입구역(2호선),1.3,서울2호선
1102041,이대,신촌(2호선),0.8,서울2호선
1102042,이대,아현,0.9,서울2호선
1102043,아현,충정로역(2호선),0.8,서울2호선
1102044,신도림역(2-1호선),도림천,1,서울2호선
1102045,양천구청,도림천,1.7,서울2호선
1102046,양천구청,신정네거리,1.9,서울2호선
1102047,까치산역(2-1호선),신정네거리,1.4,서울2호선
1102048,성수역(2-2호선),용답,2.3,서울2호선
1102049,용답,신답,1,서울2호선
1102050,신답,용두,0.9,서울2호선
1102051,용두,신설동역(2호선),1.2,서울2호선
1103001,수서역(3호선),일원,1.8,서울3호선
1103002,일원,대청,1.2,서울3호선
1103003,대청,학여울,0.9,서울3호선
1103004,학여울,대치,0.8,서울3호선
1103005,대치,도곡역(3호선),0.8,서울3호선
1103006,도곡역(3호선),매봉,0.8,서울3호선
1103007,매봉,양재역(3호선),1.2,서울3호선
1103008,양재역(3호선),남부터미널,1.8,서울3호선
1103009,남부터미널,교대역(3호선),0.9,서울3호선
1103010,고속터미널역(3호선),교대역(3호선),1.6,서울3호선
1103011,잠원,고속터미널역(3호선),1.2,서울3호선
1103012,신사,잠원,0.9,서울3호선
1103013,압구정,신사,1.5,서울3호선
1103014,압구정,옥수역(3호선),2.1,서울3호선
1103015,금호,옥수역(3호선),0.8,서울3호선
1103016,약수역(3호선),금호,0.8,서울3호선
1103017,동대입구,약수역(3호선),0.7,서울3호선
1103018,충무로역(3호선),동대입구,0.9,서울3호선
1103019,을지로3가역(3호선),충무로역(3호선),0.7,서울3호선
1103020,을지로3가역(3호선),종로3가역(3호선),0.6,서울3호선
1103021,안국,종로3가역(3호선),1,서울3호선
1103022,안국,경복궁,1.1,서울3호선
1103023,독립문,경복궁,1.6,서울3호선
1103024,독립문,무악재,1.1,서울3호선
1103025,무악재,홍제,0.9,서울3호선
1103026,녹번,홍제,1.6,서울3호선
1103027,녹번,불광역(3호선),1.1,서울3호선
